state,zip_code,population,avg_income,starbucks_count,dunkin_count
AL,36116,18030,43249,1,1
AL,36117,22550,75211,3,0
AL,36201,6240,32020,0,0
AL,36203,8400,53112,2,1
AL,36205,340,51532,0,0
AL,36206,4510,41478,0,0
AL,36207,8300,64369,0,0
AL,36250,2100,53961,0,0
AL,36251,2030,46181,0,0
AL,36255,380,85384,0,0
AL,36256,600,45758,0,0
AL,36258,660,46592,0,0
AL,36260,1630,43953,0,0
AL,36262,530,43194,0,0
AL,36263,220,49663,0,0
AL,36264,3400,51860,0,0
AL,36265,7620,50549,0,0
AL,36266,2250,45011,0,0
AL,36268,2300,45266,0,0
AL,36269,470,43982,0,0
AL,36271,2460,50653,0,0
AL,36272,4700,44245,0,0
AL,36273,1050,54686,0,0
AL,36274,4250,39878,0,0
AL,36276,880,45713,0,0
AL,36277,2330,46963,0,0
AL,36278,1900,61902,0,0
AL,36279,1060,46925,0,0
AL,36280,1490,47722,0,0
AL,36301,15550,48246,0,1
AL,36303,12590,61037,1,1
AL,36305,6990,88227,0,1
AL,36310,2410,48334,0,0
AL,36311,1060,49401,0,0
AL,36312,2480,51240,0,0
AL,36314,240,44208,0,0
AL,36316,750,53604,0,0
AL,36317,170,40323,0,0
AL,36318,480,51720,0,0
AL,36319,880,52518,0,0
AL,36320,1360,41482,0,0
AL,36321,780,44702,0,0
AL,36322,3410,43934,0,0
AL,36323,2950,45728,0,0
AL,36330,15320,59929,0,1
AL,36340,1990,44688,0,0
AL,36343,580,37946,0,0
AL,36344,2130,46869,0,0
AL,36345,3570,59395,0,0
AL,36346,580,48087,0,0
AL,36350,3090,54025,0,0
AL,36351,1490,57313,0,0
AL,36352,2150,60038,0,0
AL,36353,840,45703,0,0
AL,36360,7810,48139,0,0
AL,36362,1400,53388,0,0
AL,36370,350,45331,0,0
AL,36373,210,35352,0,0
AL,36374,490,52075,0,0
AL,36375,2870,44903,0,0
AL,36376,870,42886,0,0
AL,36401,2750,40504,0,0
AL,36420,4390,54498,0,0
AL,36421,3570,62121,0,0
AL,36425,330,31963,0,0
AL,36426,5590,46964,0,0
AL,36432,910,38314,0,0
AL,36435,190,28510,0,0
AL,36436,180,42338,0,0
AL,36441,1470,47356,0,0
AL,36442,1140,41751,0,0
AL,36444,220,36845,0,0
AL,36445,1550,41810,0,0
AL,36451,1820,53165,0,0
